color,currency,image,inStock,name,os,page_num,price,processor,ram,rom,screenSize,url,wasPrice
black,AED,https://cdn.media.amplience.net/i/emax/100000364037_1,1,Honor 200  12GB 512GB Black 5G + Free Gifts,MagicOS 8.0 (Based on Android 14),1,1899.0,Qualcomm Snapdragon 7 GEN3,12gb,512gb,6.70 Inch,uae.emaxme.com/buy-honor-200--12gb-512gb-black-5g--free-gifts-p-01J30BYN1FHZS50R4WF81F0YDM-Black-12GB 512GB.html,1899.0
moonlight white,AED,https://cdn.media.amplience.net/i/emax/100000364036_1,1,Honor 200  12GB 256GB Moonlight White 5G + Free Gifts,MagicOS 8.0 (Based on Android 14),1,1599.0,Qualcomm Snapdragon 7 GEN3,12gb,256gb,6.70 Inch,uae.emaxme.com/buy-honor-200--12gb-256gb-moonlight-white-5g--free-gifts-p-01J30BYN1AJ4MP0N6S30431D78-Moonlight White-12GB 256GB.html,1599.0
emerald green,AED,https://cdn.media.amplience.net/i/emax/100000364035_1,1,Honor 200  12GB 256GB Emerald Green 5G + Free Gifts,MagicOS 8.0 (Based on Android 14),2,1599.0,Qualcomm Snapdragon 7 GEN3,12gb,256gb,6.70 Inch,uae.emaxme.com/buy-honor-200--12gb-256gb-emerald-green-5g--free-gifts-p-01J30BYN1AJ4MP0N6S30431D78-Emerald Green-12GB 256GB.html,1599.0
black,AED,https://cdn.media.amplience.net/i/emax/100000364034_1,1,Honor 200  12GB 256GB Black 5G + Free Gifts,MagicOS 8.0 (Based on Android 14),2,1599.0,Qualcomm Snapdragon 7 GEN3,12gb,256gb,6.70 Inch,uae.emaxme.com/buy-honor-200--12gb-256gb-black-5g--free-gifts-p-01J30BYN1AJ4MP0N6S30431D78-Black-12GB 256GB.html,1599.0
silver shadow,AED,https://cdn.media.amplience.net/i/emax/100000363808_1,1,Samsung Galaxy Z Fold6 12GB 1TB Silver Shadow 5G,,2,8099.0,,12gb,1tb,,uae.emaxme.com/buy-samsung-galaxy-z-fold6-12gb-1tb-silver-shadow-5g-p-01J2EBDZ1ES65T1N7E6YWW0DT6-Silver Shadow-12GB 1TB.html,8699.0
silver shadow,AED,https://cdn.media.amplience.net/i/emax/100000363808_1,1,Samsung Galaxy Z Fold6 12GB 512GB Silver Shadow 5G,,2,7099.0,,12gb,512gb,,uae.emaxme.com/buy-samsung-galaxy-z-fold6-12gb-512gb-silver-shadow-5g-p-01J2EBDZ1ES65T1N7E6YWW0DT6-Silver Shadow-12GB 512GB.html,7699.0
silver shadow,AED,https://cdn.media.amplience.net/i/emax/100000363808_1,1,Samsung Galaxy Z Fold6 12GB 256GB Silver Shadow 5G,,2,6599.0,,12gb,256gb,,uae.emaxme.com/buy-samsung-galaxy-z-fold6-12gb-256gb-silver-shadow-5g-p-01J2EBDZ1ES65T1N7E6YWW0DT6-Silver Shadow-12GB 256GB.html,7199.0
pink,AED,https://cdn.media.amplience.net/i/emax/100000363804_1,1,Samsung Galaxy Z Fold6 12GB 512GB Pink 5G,,2,7099.0,,12gb,512gb,,uae.emaxme.com/buy-samsung-galaxy-z-fold6-12gb-512gb-pink-5g-p-01J2EBDZ1ES65T1N7E6YWW0DT6-Pink-12GB 512GB.html,7699.0
pink,AED,https://cdn.media.amplience.net/i/emax/100000363804_1,1,Samsung Galaxy Z Fold6 12GB 256GB Pink 5G,,2,6599.0,,12gb,256gb,,uae.emaxme.com/buy-samsung-galaxy-z-fold6-12gb-256gb-pink-5g-p-01J2EBDZ1ES65T1N7E6YWW0DT6-Pink-12GB 256GB.html,7199.0
navy,AED,https://cdn.media.amplience.net/i/emax/100000363802_1,1,Samsung Galaxy Z Fold6 12GB 1TB Navy 5G,,2,8099.0,,12gb,1tb,,uae.emaxme.com/buy-samsung-galaxy-z-fold6-12gb-1tb-navy-5g-p-01J2EBDZ1ES65T1N7E6YWW0DT6-Navy-12GB 1TB.html,8699.0
