colour,currency,image,name,offer_price,os_version,page_number,processor,ram,regular_price,rom,url
Titanium Gray,AED,https://f.nooncdn.com/p/pnsku/N70035265V/45/_/1712239189/479179d5-3f20-4b07-96bf-3ae9bca7b58e.jpg?format=jpg&width=240,Galaxy S24 Ultra Dual SIM Titanium Gray 12GB RAM 256GB 5G - Middle East Version,3189.0,,1,,12 GB,4949.0,256 GB,https://www.noon.com/uae-en/galaxy-s24-ultra-dual-sim-titanium-gray-12gb-ram-256gb-5g-middle-east-version/N70035206V/p/?o=acc15d898eb3c74c
White Titanium,AED,https://f.nooncdn.com/p/pnsku/N70105579V/45/_/1725965028/655e67ae-fda2-4075-9eba-7cc281a9f427.jpg?format=jpg&width=240,iPhone 16 Pro 256GB White Titanium 5G With FaceTime - Middle East Version,,iOS 18,1,,8 GB,5299.0,256 GB,https://www.noon.com/uae-en/iphone-16-pro-256gb-white-titanium-5g-with-facetime-middle-east-version/N70105565V/p/?o=c2c2aa14dd76c1ef
Blue,AED,https://f.nooncdn.com/p/pnsku/N70085226V/45/_/1723174170/00f69892-813e-465c-851b-1e981bb05561.jpg?format=jpg&width=240,Galaxy Z Flip 6 Single SIM + eSIM Blue 12GB RAM 256GB 5G - Middle East Version,2475.95,Android 14,1,Qualcomm Snapdragon,12 GB,4299.0,256 GB,https://www.noon.com/uae-en/galaxy-z-flip-6-single-sim-esim-blue-12gb-ram-256gb-5g-middle-east-version/N70085222V/p/?o=e451d05e5c3d73dd
Chromatic Gray,AED,https://f.nooncdn.com/p/v1680515689/N53396281A_2.jpg?format=jpg&width=240,Nord CE 3 Lite Dual Sim Chromatic Gray 8GB RAM 256GB 5G - International Version,689.0,,1,Qualcomm Snapdragon,8 GB,1099.0,256 GB,https://www.noon.com/uae-en/nord-ce-3-lite-dual-sim-chromatic-gray-8gb-ram-256gb-5g-international-version/N53396281A/p/?o=eced032700c7bf6a
Marble Gray,AED,https://f.nooncdn.com/p/pnsku/N70035137V/45/_/1712239202/c66788f7-cd23-4ed9-b48b-f25864f3ebe5.jpg?format=jpg&width=240,Galaxy S24 Dual SIM Marble Gray 8GB RAM 128GB 5G - Middle East Version,,,1,,8 GB,2609.0,128 GB,https://www.noon.com/uae-en/galaxy-s24-dual-sim-marble-gray-8gb-ram-128gb-5g-middle-east-version/N70035134V/p/?o=c1478c62b39421eb
Marble Gray,AED,https://f.nooncdn.com/p/pnsku/N70035137V/45/_/1712239202/c66788f7-cd23-4ed9-b48b-f25864f3ebe5.jpg?format=jpg&width=240,Galaxy S24 Dual SIM Marble Gray 8GB RAM 128GB 5G - Middle East Version,,,1,,8 GB,2295.35,128 GB,https://www.noon.com/uae-en/galaxy-s24-dual-sim-marble-gray-8gb-ram-128gb-5g-middle-east-version/N70035134V/p/?o=f3a606b801d91bcd
Titanium Gray,AED,https://f.nooncdn.com/p/pnsku/N70035269V/45/_/1712239202/e25e39ae-98e0-40a4-a27f-9547ffebee87.jpg?format=jpg&width=240,Galaxy S24 Ultra Dual SIM Titanium Gray 12GB RAM 512GB 5G - Middle East Version,,,1,,12 GB,3749.0,512 GB,https://www.noon.com/uae-en/galaxy-s24-ultra-dual-sim-titanium-gray-12gb-ram-512gb-5g-middle-east-version/N70035270V/p/?o=eea89855c98722fc
Chromatic Gray,AED,https://f.nooncdn.com/p/v1680515689/N53396281A_2.jpg?format=jpg&width=240,Nord CE 3 Lite Dual Sim Chromatic Gray 8GB RAM 256GB 5G - International Version,712.95,,1,Qualcomm Snapdragon,8 GB,1099.0,256 GB,https://www.noon.com/uae-en/nord-ce-3-lite-dual-sim-chromatic-gray-8gb-ram-256gb-5g-international-version/N53396281A/p/?o=afc9372ae5131c6e
Cyan Lake,AED,https://f.nooncdn.com/p/pnsku/N70045419V/45/_/1707535869/3d0670db-bdf8-41a8-b3de-86a08fae249e.jpg?format=jpg&width=240,90 Lite 5G Dual Sim 8Gb Ram 256Gb Rom Cyan Lake - International Version,599.0,,1,,8 GB,899.0,256 GB,https://www.noon.com/uae-en/90-lite-5g-dual-sim-8gb-ram-256gb-rom-cyan-lake-international-version/N70045419V/p/?o=bf46fb791045ccca
Midnight Black,AED,https://f.nooncdn.com/p/pnsku/N70053765V/45/_/1715069340/fe463726-5473-42d2-a67c-20f340363ecd.jpg?format=jpg&width=240,Note 50 Dual SIM Midnight Black 4GB 128GB 4G - Middle East Version,,Android 13,1,,4 GB,359.0,128 GB,https://www.noon.com/uae-en/note-50-dual-sim-midnight-black-4gb-128gb-4g-middle-east-version/N70053765V/p/?o=ef75048fc241a84f
