colour,currency,image,name,offer_price,os_version,page_number,processor,ram,regular_price,rom,url
Black,AED,,Renewed - Nova 3i Dual SIM Black 4GB RAM 128GB 4G LTE,,Android 8.0/8.1(Oreo),40,HiSilicon Kirin,4 GB,399.0,128 GB,https://www.noon.com/uae-en/renewed-nova-3i-dual-sim-black-4gb-ram-128gb-4g-lte/N49921459A/p/?o=d18eb8066e9fd3ac
Midnight Green,AED,,Refurbished - iPhone 11 Pro With FaceTime Midnight Green 256GB 4G LTE,,,40,Apple,4 GB,1665.0,256 GB,https://www.noon.com/uae-en/refurbished-iphone-11-pro-with-facetime-midnight-green-256gb-4g-lte/N41769964A/p/?o=d9492e09757a3bff
Blue,AED,,Refurbished - iPhone XR With Facetime Blue 64GB ROM 4G LTE,758.9,,40,Apple,3 GB,829.9,64 GB,https://www.noon.com/uae-en/refurbished-iphone-xr-with-facetime-blue-64gb-rom-4g-lte/N40487912A/p/?o=e56d0b474c9177ba
Black,AED,,Refurbished - iPhone 12 With Facetime 256GB Black 5G,,,40,A14 Bionic,4 GB,1212.0,256 GB,https://www.noon.com/uae-en/refurbished-iphone-12-with-facetime-256gb-black-5g/N51784828A/p/?o=dbfbc0f031a08eee
,AED,,Refurbished - iPhone XR With FaceTime Red 128GB 4G LTE,,,40,,,820.0,,https://www.noon.com/uae-en/refurbished-iphone-xr-with-facetime-red-128gb-4g-lte/ZF352BA750F683429E43DZ/p/?o=zf352ba750f683429e43dz-1
Green,AED,,Refurbished - iPhone 11 With FaceTime Green 256GB 4G LTE,,,40,Apple,4 GB,1120.0,256 GB,https://www.noon.com/uae-en/refurbished-iphone-11-with-facetime-green-256gb-4g-lte/N53423042A/p/?o=c618412f68f107fe
Black,AED,,Renewed - 220 Dual SIM Black 24MB 4G LTE,,,40,,16 MB,450.0,24 MB,https://www.noon.com/uae-en/renewed-220-dual-sim-black-24mb-4g-lte/N46716856A/p/?o=b0d6c129ddf83daf
Gold,AED,,Renewed - iPhone 11 Pro With FaceTime Gold 64GB 4G LTE,,,40,Apple,4 GB,1254.0,64 GB,https://www.noon.com/uae-en/renewed-iphone-11-pro-with-facetime-gold-64gb-4g-lte/N43289060A/p/?o=e8fb4fdc6c583a5c
Green,AED,,Refurbished - iPhone 12 With Facetime 128GB Green 5G,,,40,A14 Bionic,4 GB,1258.0,128 GB,https://www.noon.com/uae-en/refurbished-iphone-12-with-facetime-128gb-green-5g/N51784825A/p/?o=de85384b4c0f95db
Cosmic Grey,AED,,Renewed - Galaxy S20 Ultra Dual SIM Cosmic Gray 12GB RAM 128GB 5G - International Version,979.0,iOS 10,40,,12 GB,1050.0,128 GB,https://www.noon.com/uae-en/renewed-galaxy-s20-ultra-dual-sim-cosmic-gray-12gb-ram-128gb-5g-international-version/N49108722A/p/?o=c012517dd4a1e41e
Coral,AED,,Renewed - iPhone XR With FaceTime Coral 128GB 4G LTE,,,40,,3 GB,790.0,128 GB,https://www.noon.com/uae-en/renewed-iphone-xr-with-facetime-coral-128gb-4g-lte/N39923646A/p/?o=a1dc0523b7ebd91d
Cosmic Black,AED,,Renewed - Galaxy S20 Ultra Cosmic Black 12GB RAM 128GB 5G,999.0,Android 10(Q),40,,12 GB,1199.0,128 GB,https://www.noon.com/uae-en/renewed-galaxy-s20-ultra-cosmic-black-12gb-ram-128gb-5g/N47165564A/p/?o=f3da03fff4d2dced
Red,AED,,Refurbished - iPhone XR With FaceTime Red 64GB 4G LTE,,,40,Apple,3 GB,850.0,64 GB,https://www.noon.com/uae-en/refurbished-iphone-xr-with-facetime-red-64gb-4g-lte/N39448934A/p/?o=c4f17811bcc726df
Gold,AED,,Renewed - iPhone 11 Pro With FaceTime Gold 256GB 4G LTE,,,40,Apple,4 GB,1325.0,256 GB,https://www.noon.com/uae-en/renewed-iphone-11-pro-with-facetime-gold-256gb-4g-lte/N52190338A/p/?o=d40521ea36043fde
(PRODUCT)Red,AED,https://f.nooncdn.com/p/v1602055546/N39550575A_1.jpg?format=jpg&width=240,Refurbished - iPhone XR Dual SIM With FaceTime Red 128GB 4G LTE,,,40,Bionic,3 GB,938.0,128 GB,https://www.noon.com/uae-en/refurbished-iphone-xr-dual-sim-with-facetime-red-128gb-4g-lte/N39550575A/p/?o=d2ecaa6569df4c9b
Blue,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,Renewed - iPhone 12 With Facetime 128GB Blue 5G,,iOS 14,40,Apple,4 GB,1420.0,128 GB,https://www.noon.com/uae-en/renewed-iphone-12-with-facetime-128gb-blue-5g/N43414790A/p/?o=a2344e2c639de3ff
Black,AED,,Refurbished - iPhone XR With Facetime Black 128GB ROM 4G LTE,,,40,Apple,3 GB,1015.0,128 GB,https://www.noon.com/uae-en/refurbished-iphone-xr-with-facetime-black-128gb-rom-4g-lte/N41769920A/p/?o=b48800b5fb29023c
White,AED,,Refurbished - iPhone 12 With Facetime 64GB White 5G,,iOS 14,40,Apple,4 GB,1080.0,64 GB,https://www.noon.com/uae-en/refurbished-iphone-12-with-facetime-64gb-white-5g/N53423045A/p/?o=d100839b554d43fc
Black,AED,https://f.nooncdn.com/p/v1602055546/N39550575A_1.jpg?format=jpg&width=240,Refurbished - iPhone XR Dual SIM With FaceTime Black 128GB 4G LTE,765.7,,40,Bionic,3 GB,823.25,128 GB,https://www.noon.com/uae-en/refurbished-iphone-xr-dual-sim-with-facetime-black-128gb-4g-lte/N39550580A/p/?o=bc935e8fdeba8b2e
Gold,AED,,Renewed - iPhone 11 Pro Max Without FaceTime Gold 256GB 4G LTE,,,40,,4 GB,1390.0,256 GB,https://www.noon.com/uae-en/renewed-iphone-11-pro-max-without-facetime-gold-256gb-4g-lte/N50677237A/p/?o=f4d9f48d4d1dc8ac
Graphite,AED,,Refurbished - iPhone 12 Pro With Facetime 256GB Graphite 5G',,,40,A14 Bionic,6 GB,2057.0,256 GB,https://www.noon.com/uae-en/refurbished-iphone-12-pro-with-facetime-256gb-graphite-5g/N51784850A/p/?o=ca801722c17f6d6d
Space Grey,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,Renewed - iPhone 11 Pro With FaceTime Space Gray 64GB 4G LTE,,iOS 13,40,Apple,4 GB,1049.0,64 GB,https://www.noon.com/uae-en/renewed-iphone-11-pro-with-facetime-space-gray-64gb-4g-lte/N37958249A/p/?o=dbd9bb8cd19505bc
Purple,AED,,Renewed - iPhone 11 With FaceTime Purple 128GB 4G LTE,,,40,Apple,4 GB,990.0,128 GB,https://www.noon.com/uae-en/renewed-iphone-11-with-facetime-purple-128gb-4g-lte/N49926536A/p/?o=c11304f05f899e2d
Midnight Green,AED,,Renewed - iPhone 11 Green 64GB 4G LTE With Facetime,,,40,Apple,4 GB,930.0,64 GB,https://www.noon.com/uae-en/renewed-iphone-11-green-64gb-4g-lte-with-facetime/N43249410A/p/?o=fb06e382fe7b420f
Midnight Green,AED,,Renewed - iPhone 11 Pro With Facetime Midnight Green 64GB 4G LTE,,,40,Apple,4 GB,1199.0,64 GB,https://www.noon.com/uae-en/renewed-iphone-11-pro-with-facetime-midnight-green-64gb-4g-lte/N50397638A/p/?o=ac94f23360e4c95b
Blue,AED,,Refurbished - iPhone XR With Facetime Blue 128GB ROM 4G LTE,,,40,Apple,3 GB,1025.0,128 GB,https://www.noon.com/uae-en/refurbished-iphone-xr-with-facetime-blue-128gb-rom-4g-lte/N39448935A/p/?o=fb57abc200f29d0f
Black,AED,,Refurbished - iPhone XR With FaceTime Black 64GB 4G LTE,850.0,,40,Apple,3 GB,926.0,64 GB,https://www.noon.com/uae-en/refurbished-iphone-xr-with-facetime-black-64gb-4g-lte/N41769906A/p/?o=b69d949d79a1db0c
Green,AED,,Refurbished - iPhone 11 With FaceTime Green 128GB 4G LTE,,,40,,4 GB,1273.0,128 GB,https://www.noon.com/uae-en/refurbished-iphone-11-with-facetime-green-128gb-4g-lte/N51810690A/p/?o=b6fb22e3c5cf47cc
Yellow,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,Refurbished - iPhone XR With FaceTime Yellow 128GB 4G LTE,,,40,Bionic,3 GB,796.55,128 GB,https://www.noon.com/uae-en/refurbished-iphone-xr-with-facetime-yellow-128gb-4g-lte/N41769922A/p/?o=c57dd96a9cfa055e
Gold,AED,,Renewed - iPhone 7 Plus With FaceTime Gold 128GB 4G LTE,,iOS 10,40,Apple,3 GB,597.0,128 GB,https://www.noon.com/uae-en/renewed-iphone-7-plus-with-facetime-gold-128gb-4g-lte/N52261048A/p/?o=f41e3489c78ae82c
Silver,AED,https://f.nooncdn.com/p/v1604822142/N41769951A_1.jpg?format=jpg&width=240,Refurbished - iPhone 11 Pro With FaceTime Silver 64GB 4G LTE,,,40,Apple,4 GB,1514.0,64 GB,https://www.noon.com/uae-en/refurbished-iphone-11-pro-with-facetime-silver-64gb-4g-lte/N41769947A/p/?o=b6f888475f842ecb
Space Gray,AED,https://f.nooncdn.com/p/v1604822148/N41770096A_1.jpg?format=jpg&width=240,Refurbished - iPhone 11 Pro Max With FaceTime Space Gray 64GB 4G LTE,,,40,Apple,4 GB,1450.0,64 GB,https://www.noon.com/uae-en/refurbished-iphone-11-pro-max-with-facetime-space-gray-64gb-4g-lte/N39448922A/p/?o=b28acd9e20961e0b
(PRODUCT)RED,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,Renewed - iPhone 11 With FaceTime RED 128GB 4G LTE,,,40,Apple,4 GB,1129.0,128 GB,https://www.noon.com/uae-en/renewed-iphone-11-with-facetime-red-128gb-4g-lte/N37846681A/p/?o=ed9ea9fcfdaa2cbe
Space Grey,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,Renewed - iPhone X With FaceTime Space Grey 256GB 4G LTE,,iOS 11,40,Apple,3 GB,799.55,256 GB,https://www.noon.com/uae-en/renewed-iphone-x-with-facetime-space-grey-256gb-4g-lte/N37984547A/p/?o=cbbac0587b5a49be
Space Gray,AED,,Renewed - iPhone 11 Pro Max With FaceTime Space Gray 64GB 4G LTE,,,40,Apple,4 GB,1356.0,64 GB,https://www.noon.com/uae-en/renewed-iphone-11-pro-max-with-facetime-space-gray-64gb-4g-lte/N39348503A/p/?o=da15a448c1a626ec
Red,AED,,Refurbished - iPhone 11 With FaceTime RED 256GB 4G LTE,,,40,Apple,4 GB,1124.0,256 GB,https://www.noon.com/uae-en/refurbished-iphone-11-with-facetime-red-256gb-4g-lte/N53423046A/p/?o=dc3d0db9cec3a1be
Red,AED,,Refurbished - iPhone 12 With Facetime 128GB Red 5G,,,40,Apple,4 GB,1164.0,128 GB,https://www.noon.com/uae-en/refurbished-iphone-12-with-facetime-128gb-red-5g/N53423049A/p/?o=c6f0a98ad8d0d49f
Space Grey,AED,https://f.nooncdn.com/p/pnsku/N70095755V/45/_/1721982706/1d8cb53b-7039-4fec-b4e4-14d17127d519.jpg?format=jpg&width=240,Renewed - iPhone 14 Pro Max 512GB Space Grey 5G With FaceTime,,iOS 16,40,Apple,6 GB,3099.0,512 GB,https://www.noon.com/uae-en/renewed-iphone-14-pro-max-512gb-space-grey-5g-with-facetime/N70095720V/p/?o=fe892b8d7d9ee62e
Black,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,Renewed - Nova 3i Dual SIM Black 4GB RAM 128GB 4G LTE,399.0,Android 8.0/8.1(Oreo),40,Hisilicon,4 GB,500.0,128 GB,https://www.noon.com/uae-en/renewed-nova-3i-dual-sim-black-4gb-ram-128gb-4g-lte/N34261523A/p/?o=fb1a26799843b9fa
Silver,AED,,Refurbished - iPhone 11 Pro With FaceTime Silver 256GB 4G LTE,,,40,Apple,4 GB,1104.0,256 GB,https://www.noon.com/uae-en/refurbished-iphone-11-pro-with-facetime-silver-256gb-4g-lte/N41769962A/p/?o=a78326850f49032c
Cosmic Grey,AED,,Renewed - Galaxy S20 Single Sim Cosmic Grey 12GB RAM 128GB 5G LTE,,,40,,12 GB,1249.95,128 GB,https://www.noon.com/uae-en/renewed-galaxy-s20-single-sim-cosmic-grey-12gb-ram-128gb-5g-lte/N50385823A/p/?o=e6ef8dae48d4f04d
Pacific Blue,AED,,Renewed - iPhone 12 Pro With Facetime 128GB Pacific Blue 5G,,iOS 14,40,A14 Bionic,6 GB,1959.0,128 GB,https://www.noon.com/uae-en/renewed-iphone-12-pro-with-facetime-128gb-pacific-blue-5g/N45048583A/p/?o=cffafb2cf7e2864b
Gold,AED,,Renewed - iPhone 14 Pro 128GB Gold 5G With FaceTime,,,40,Apple,6 GB,2899.0,128 GB,https://www.noon.com/uae-en/renewed-iphone-14-pro-128gb-gold-5g-with-facetime/N53431390A/p/?o=e20f52a54a90890d
Space Grey,AED,,Refurbished - iPhone Xs Max With FaceTime Space Grey 256GB 4G LTE,,,40,Apple,4 GB,1175.0,256 GB,https://www.noon.com/uae-en/refurbished-iphone-xs-max-with-facetime-space-grey-256gb-4g-lte/N42344891A/p/?o=b7e33aa62ddbb13d
Coral,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,Renewed - iPhone XR With FaceTime Coral 128GB 4G LTE,,,40,,3 GB,769.1,128 GB,https://www.noon.com/uae-en/renewed-iphone-xr-with-facetime-coral-128gb-4g-lte/N37846028A/p/?o=e69b0356d06e368c
Yellow,AED,,Renewed - iPhone XR With FaceTime Yellow 64GB 4G LTE,850.0,,40,,3 GB,3192.0,64 GB,https://www.noon.com/uae-en/renewed-iphone-xr-with-facetime-yellow-64gb-4g-lte/N32108462A/p/?o=d04318ad56f360bd
Midnight Green,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,Renewed - iPhone 11 Pro With FaceTime Midnight Green 64GB 4G LTE,,,40,Apple,4 GB,1254.0,64 GB,https://www.noon.com/uae-en/renewed-iphone-11-pro-with-facetime-midnight-green-64gb-4g-lte/N48019568A/p/?o=a492373215cfdd2f
Gold,AED,,Refurbished - iPhone 11 Pro With FaceTime Gold 64GB 4G LTE,1199.0,,40,Apple,4 GB,1297.0,64 GB,https://www.noon.com/uae-en/refurbished-iphone-11-pro-with-facetime-gold-64gb-4g-lte/N41769939A/p/?o=c4a32f7b26d6f1cf
Green,AED,,Renewed - iPhone 11 Pro Max With FaceTime Green 256GB 4G LTE,1349.0,,40,Apple,,3599.0,256 GB,https://www.noon.com/uae-en/renewed-iphone-11-pro-max-with-facetime-green-256gb-4g-lte/N32108813A/p/?o=b705ebce20799e8b
Red,AED,,Refurbished - iPhone 12 With Facetime 256GB Red 5G,,,40,A14 Bionic,4 GB,1212.0,256 GB,https://www.noon.com/uae-en/refurbished-iphone-12-with-facetime-256gb-red-5g/N51784831A/p/?o=cbbb08c46857e50e
Space Grey,AED,,Renewed - iPhone Xs With Facetime Space Grey 512GB 4G LTE,,,40,Apple,4 GB,863.0,512 GB,https://www.noon.com/uae-en/renewed-iphone-xs-with-facetime-space-grey-512gb-4g-lte/N42341448A/p/?o=dcb0557a958febfc
Cosmic Black,AED,,Renewed - Galaxy S20 Ultra Cosmic Black 12GB RAM 128GB ROM 5G,999.0,Android 10(Q),40,,12 GB,1089.0,128 GB,https://www.noon.com/uae-en/renewed-galaxy-s20-ultra-cosmic-black-12gb-ram-128gb-rom-5g/N47165650A/p/?o=ac9c6e7ccf5f29bc
Space Gray,AED,https://f.nooncdn.com/p/v1611725138/N43885048A_1.jpg?format=jpg&width=240,Refurbished - iPhone 11 Pro With FaceTime Space Gray 64GB 4G LTE,,,40,Apple,4 GB,1165.0,64 GB,https://www.noon.com/uae-en/refurbished-iphone-11-pro-with-facetime-space-gray-64gb-4g-lte/N43885047A/p/?o=eddfac5c0bd570cb
Purple,AED,,Renewed - iPhone 11 With FaceTime Purple 256GB 4G LTE,,,40,Apple,4 GB,1048.0,256 GB,https://www.noon.com/uae-en/renewed-iphone-11-with-facetime-purple-256gb-4g-lte/N52190353A/p/?o=cfabae9678a8964e
Yellow,AED,,Renewed - iPhone XR With FaceTime Yellow 64GB 4G LTE,,,40,,3 GB,794.55,64 GB,https://www.noon.com/uae-en/renewed-iphone-xr-with-facetime-yellow-64gb-4g-lte/N37846055A/p/?o=a5c8eb35c2330c1b
Blue,AED,,Refurbished - iPhone 12 With Facetime 256GB Blue 5G,,,40,A14 Bionic,4 GB,1212.0,256 GB,https://www.noon.com/uae-en/refurbished-iphone-12-with-facetime-256gb-blue-5g/N51784829A/p/?o=cf1f06b29c05949a
White,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,Renewed - iPhone 12 With Facetime 128GB White 5G,,iOS 14,40,Apple,4 GB,1206.0,128 GB,https://www.noon.com/uae-en/renewed-iphone-12-with-facetime-128gb-white-5g/N43249436A/p/?o=aeee55692a8ea14f
Silver,AED,,Galaxy S21 Ultra Dual Sim 5G Phantom Silver 256Gb Ram 12Gb -Renewed,,Android 11,40,Samsung Exynos,12 GB,1199.0,128 GB,https://www.noon.com/uae-en/galaxy-s21-ultra-dual-sim-5g-phantom-silver-256gb-ram-12gb-renewed/N70021585V/p/?o=a8562d0d9a6dcd1f
Midnight Green,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,Renewed - iPhone 11 Pro With FaceTime Midnight Green 256GB 4G LTE,1199.0,,40,Apple,4 GB,4599.0,256 GB,https://www.noon.com/uae-en/renewed-iphone-11-pro-with-facetime-midnight-green-256gb-4g-lte/N52190343A/p/?o=f126af389b0a3cbb
Midnight Green,AED,https://f.nooncdn.com/p/v1612869364/N37936227A_1.jpg?format=jpg&width=240,Renewed - iPhone 11 Pro With FaceTime Midnight Green 256GB 4G LTE,,,40,Apple,4 GB,1199.0,256 GB,https://www.noon.com/uae-en/renewed-iphone-11-pro-with-facetime-midnight-green-256gb-4g-lte/N37936227A/p/?o=a99b3a12d8a6c42c
Black,AED,,Galaxy S21 Ultra Dual Sim 5G Phantom Silver 256Gb Ram 12Gb -Renewed,,Android 11,40,Samsung Exynos,12 GB,1300.0,256 GB,https://www.noon.com/uae-en/galaxy-s21-ultra-dual-sim-5g-phantom-silver-256gb-ram-12gb-renewed/N70021584V/p/?o=e23f69a1f42f143b
Green,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,Refurbished - iPhone 12 With Facetime 64GB Green 5G,,,40,A14 Bionic,4 GB,1080.0,64 GB,https://www.noon.com/uae-en/refurbished-iphone-12-with-facetime-64gb-green-5g/N51784819A/p/?o=f6f18a275ba129df
Midnight Green,AED,https://f.nooncdn.com/p/v1604822150/N41770107A_1.jpg?format=jpg&width=240,Refurbished - iPhone 11 Pro Max With FaceTime Midnight Green 256GB 4G LTE,1440.0,,40,Apple,4 GB,1720.0,256 GB,https://www.noon.com/uae-en/refurbished-iphone-11-pro-max-with-facetime-midnight-green-256gb-4g-lte/N39448919A/p/?o=d1fe6851425bd81c
,AED,,Refurbished - iPhone XR With Facetime Blue 256GB ROM 4G LTE,,,40,,,989.0,,https://www.noon.com/uae-en/refurbished-iphone-xr-with-facetime-blue-256gb-rom-4g-lte/ZFD74073F569ADA4829F9Z/p/?o=zfd74073f569ada4829f9z-1
White,AED,,Refurbished - iPhone XR With FaceTime White 128GB 4G LTE,,,40,Bionic,3 GB,1026.0,128 GB,https://www.noon.com/uae-en/refurbished-iphone-xr-with-facetime-white-128gb-4g-lte/N51810703A/p/?o=c8646b5b77a6090b
Space Gray,AED,https://f.nooncdn.com/p/v1604822150/N41770107A_1.jpg?format=jpg&width=240,Refurbished - iPhone 11 Pro Max With FaceTime Space Gray 256GB 4G LTE,1440.0,,40,Apple,4 GB,1720.0,256 GB,https://www.noon.com/uae-en/refurbished-iphone-11-pro-max-with-facetime-space-gray-256gb-4g-lte/N39448920A/p/?o=c3e66bb933dfe84c
Yellow,AED,,Renewed - iPhone 11 With Facetime Yellow 64GB 4G LTE,,,40,Apple,4 GB,930.0,64 GB,https://www.noon.com/uae-en/renewed-iphone-11-with-facetime-yellow-64gb-4g-lte/N50397720A/p/?o=f0e4cdeda4604cfa
Black,AED,,Renewed - Nova 3i Dual SIM Black 4GB RAM 128GB 4G LTE,,Android 8.0/8.1(Oreo),40,HiSilicon Kirin,4 GB,299.0,128 GB,https://www.noon.com/uae-en/renewed-nova-3i-dual-sim-black-4gb-ram-128gb-4g-lte/N49926611A/p/?o=b58eb2975848db2f
Gold,AED,,Renewed - iPhone 12 Pro With Facetime 128GB Gold 5G,,iOS 14,40,A14 Bionic,6 GB,1518.0,128 GB,https://www.noon.com/uae-en/renewed-iphone-12-pro-with-facetime-128gb-gold-5g/N46208657A/p/?o=cee35a0fe2b1321f
Silver,AED,,Refurbished - iPhone XS Max With Facetime Silver 64GB ROM 4G LTE,843.0,,40,Apple,4 GB,900.0,64 GB,https://www.noon.com/uae-en/refurbished-iphone-xs-max-with-facetime-silver-64gb-rom-4g-lte/N39697655A/p/?o=a8cdbb6bd53d749f
Mystic Black,AED,,Renewed - Galaxy Note20 Ultra Dual SIM Mystic Black 12GB RAM 256GB 5G,1499.0,,40,,12 GB,1599.0,256 GB,https://www.noon.com/uae-en/renewed-galaxy-note20-ultra-dual-sim-mystic-black-12gb-ram-256gb-5g/N43656214A/p/?o=d090bc805e32cb9e
Aura Black,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,Renewed - Galaxy Note 10 Plus Dual SIM Aura Black 12GB RAM 256GB 5G LTE,949.0,,40,,12 GB,1050.0,256 GB,https://www.noon.com/uae-en/renewed-galaxy-note-10-plus-dual-sim-aura-black-12gb-ram-256gb-5g-lte/N51825928A/p/?o=fe30a35d5af68c3e
White,AED,,Renewed - iPhone 11 White 128GB 4G LTE 2020 - Slim Packing,,iOS 13,40,Apple,4 GB,974.8,128 GB,https://www.noon.com/uae-en/renewed-iphone-11-white-128gb-4g-lte-2020-slim-packing/N42631208A/p/?o=e5979406d4f3698d
Deep Purple,AED,,Renewed - iPhone 14 Pro 128GB Deep Purple 5G With FaceTime,,,40,Apple,6 GB,2899.0,128 GB,https://www.noon.com/uae-en/renewed-iphone-14-pro-128gb-deep-purple-5g-with-facetime/N53431321A/p/?o=cdf41d21a5bd008a
Space Black,AED,,Renewed - iPhone 14 Pro 256GB Space Black 5G With FaceTime,,,40,Apple,6 GB,2990.0,256 GB,https://www.noon.com/uae-en/renewed-iphone-14-pro-256gb-space-black-5g-with-facetime/N53431338A/p/?o=e9ea8ac73a8aa59c
Aura Black,AED,,Renewed - Galaxy Note10 Plus Dual SIM Aura Black 256GB 12GB RAM 4G LTE,979.0,Android 8.0/8.1(Oreo),40,Qualcomm,12 GB,1070.0,256 GB,https://www.noon.com/uae-en/renewed-galaxy-note10-plus-dual-sim-aura-black-256gb-12gb-ram-4g-lte/N37937806A/p/?o=db7e5ad37b017f2c
Blue,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,Refurbished - iPhone XR With FaceTime Blue 128GB 4G LTE,,,40,Bionic,3 GB,833.15,128 GB,https://www.noon.com/uae-en/refurbished-iphone-xr-with-facetime-blue-128gb-4g-lte/N51610869A/p/?o=c8ba7401cef649bd
White,AED,,Renewed - iPhone XR With FaceTime White 128GB 4G LTE,790.0,,40,Bionic,3 GB,2299.0,128 GB,https://www.noon.com/uae-en/renewed-iphone-xr-with-facetime-white-128gb-4g-lte/N37984456A/p/?o=c162830f5eea856e
Silver,AED,,Renewed - iPhone Xs Max With Facetime Silver 256GB 4G LTE,,,40,Bionic,4 GB,1009.0,256 GB,https://www.noon.com/uae-en/renewed-iphone-xs-max-with-facetime-silver-256gb-4g-lte/N41450390A/p/?o=ded0427978b83ebb
Gold,AED,,Renewed - iPhone 14 Pro 128GB Gold 5G With FaceTime,2520.0,,40,Apple,6 GB,2803.85,128 GB,https://www.noon.com/uae-en/renewed-iphone-14-pro-128gb-gold-5g-with-facetime/N53431329A/p/?o=da98f8ef9cac22bf
Cosmic Grey,AED,,Renewed - Galaxy S20 Plus Dual SIM 128GB 12GB RAM,,,40,,12 GB,1050.0,128 GB,https://www.noon.com/uae-en/renewed-galaxy-s20-plus-dual-sim-128gb-12gb-ram/N49149571A/p/?o=fada134426acbc7f
Gold,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,Renewed - iPhone 11 Pro With FaceTime Gold 256GB 4G LTE -,,,40,Apple,4 GB,1199.0,256 GB,https://www.noon.com/uae-en/renewed-iphone-11-pro-with-facetime-gold-256gb-4g-lte/N50386779A/p/?o=ad914cad26b4d3cf
Silver,AED,,Refurbished - iPhone XS With Facetime Silver 256GB ROM 4G LTE,,,40,Apple,4 GB,790.0,256 GB,https://www.noon.com/uae-en/refurbished-iphone-xs-with-facetime-silver-256gb-rom-4g-lte/N39697656A/p/?o=bdd7a072a44613ea
Yellow,AED,https://f.nooncdn.com/p/v1604822133/N41769931A_1.jpg?format=jpg&width=240,Refurbished - iPhone 11 With Facetime Yellow 128GB ROM 4G LTE,997.25,,40,Apple,4 GB,1103.0,128 GB,https://www.noon.com/uae-en/refurbished-iphone-11-with-facetime-yellow-128gb-rom-4g-lte/N41769936A/p/?o=e05cffbe1b3628cd
Green,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,Renewed - iPhone 11 Green 64GB 4G LTE (2020 - Slim Packing),,,40,,,904.0,64 GB,https://www.noon.com/uae-en/renewed-iphone-11-green-64gb-4g-lte-2020-slim-packing/N47165570A/p/?o=c07e91235adabfec
Purple,AED,,Renewed - iPhone 11 With FaceTime Purple 128GB 4G LTE,,,40,Apple,4 GB,999.0,128 GB,https://www.noon.com/uae-en/renewed-iphone-11-with-facetime-purple-128gb-4g-lte/N50386809A/p/?o=d59a763acd09be9b
,AED,,Renewed iPhone XR With Facetime White 128GB 4G LTE,,,40,,,789.0,,https://www.noon.com/uae-en/renewed-iphone-xr-with-facetime-white-128gb-4g-lte/ZDB91A2453834865B580EZ/p/?o=zdb91a2453834865b580ez-1
Black,AED,,Renewed - iPhone XR With FaceTime Black 128GB 4G LTE,760.0,,40,,3 GB,2599.0,128 GB,https://www.noon.com/uae-en/renewed-iphone-xr-with-facetime-black-128gb-4g-lte/N37936466A/p/?o=cfa74c47f31f045c
Black,AED,,Renewed - iPhone 11 With FaceTime Black 128GB 4G LTE,,,40,Apple,,1287.0,128 GB,https://www.noon.com/uae-en/renewed-iphone-11-with-facetime-black-128gb-4g-lte/N32108809A/p/?o=e97fb4f8bb59a4ec
Phantom Violet,AED,,Renewed Galaxy S21 Dual Sim Phantom Violet 8GB RAM 128GB 5G,750.0,,40,,8 GB,900.0,128 GB,https://www.noon.com/uae-en/renewed-galaxy-s21-dual-sim-phantom-violet-8gb-ram-128gb-5g/N49988852A/p/?o=c85e4ee8fcc8656e
Silver,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,Renewed - iPhone X Without FaceTime Silver 256GB 4G LTE,699.0,iOS 11,40,Apple,3 GB,1999.0,256 GB,https://www.noon.com/uae-en/renewed-iphone-x-without-facetime-silver-256gb-4g-lte/N37984454A/p/?o=ab1168ccb4b6951c
Silver,AED,https://f.nooncdn.com/p/pnsku/N39550564A/45/_/1724323872/14a6464f-20f7-4fa1-99f1-c1b3b37c1244.jpg?format=jpg&width=240,Refurbished - iPhone Xs With FaceTime Silver 64GB 4G LTE,,,40,Apple,4 GB,845.0,64 GB,https://www.noon.com/uae-en/refurbished-iphone-xs-with-facetime-silver-64gb-4g-lte/N42344897A/p/?o=e08690fc758bf6eb
