category,colour,currency,image,name,offer_price,os_version,page_number,processor,ram,regular_price,rom,url
Laptop,Grey,AED,,"S1 laptop With 14.1-Inch Display, Core i5-1035G4 Processor/8GB RAM/256GB SSD/Windows 11/Intel Iris Plus Graphics English/Arabic Grey",811.0,Windows 11,1,,8 GB,1299.0,256 GB,https://www.noon.com/uae-en/s1-laptop-with-14-1-inch-display-core-i5-1035g4-processor-8gb-ram-256gb-ssd-windows-11-intel-iris-plus-graphics-english-arabic-grey/N53437934A/p/?o=a08b8a786f94615d
Laptop,Silver,AED,,"Newest Laptop With 17 Inch WUXGA Display, Intel Core i7 Processor/16GB DDR4 RAM/1TB Nvme SSD/Intel Iris Xe Graphics/Windows 11 + Free Mouse English/Arabic Silver",,Windows 11,3,,16 GB,2099.0,1 TB,https://www.noon.com/uae-en/newest-laptop-with-17-inch-wuxga-display-intel-core-i7-processor-16gb-ddr4-ram-1tb-nvme-ssd-intel-iris-xe-graphics-windows-11-free-mouse-english-arabic-silver/N70085652V/p/?o=e6c113838d754def
Laptop,Silver,AED,,"Newest Slim 15DY 3033DX Professinal And Business Laptop With 15.6-Inch FHD Display, Core i3-1115G4 Processor/12GB RAM/512 GB SSD/Intel Iris Plus Graphics /International Version/ English/Arabic Silver",1145.0,Windows 11,3,,12 GB,2039.0,512 GB,https://www.noon.com/uae-en/newest-slim-15dy-3033dx-professinal-and-business-laptop-with-15-6-inch-fhd-display-core-i3-1115g4-processor-12gb-ram-512-gb-ssd-intel-iris-plus-graphics-international-version-english-arabic-silver/N53329518A/p/?o=a6d135fc608c361e
Laptop,Grey,AED,,"N14X Notebook With 14.1-Inch Display, Celeron N4020 Processor/8GB RAM/256GB SSD/Windows 11 English Grey",599.0,Windows 11,3,,8 GB,839.0,256 GB,https://www.noon.com/uae-en/n14x-notebook-with-14-1-inch-display-celeron-n4020-processor-8gb-ram-256gb-ssd-windows-11-english-grey/N70045370V/p/?o=c07014c326962e3f
Laptop,Storm Grey,AED,,"Yoga 7 Laptop With 14-Inch Display, Ultra 7-155H Processor/16GB RAM/1TB SSD/Intel UHD Graphics/Windows 11 English/Arabic Storm Grey",4699.0,Windows 11,3,,16 GB,6299.0,1 TB,https://www.noon.com/uae-en/yoga-7-laptop-with-14-inch-display-ultra-7-155h-processor-16gb-ram-1tb-ssd-intel-uhd-graphics-windows-11-english-arabic-storm-grey/N70084646V/p/?o=e5c418745dad733e
Laptop,Silver,AED,,"Pavilion 15-eg1053 Laptop With 15.6-Inch Touchscreen Display, Core i5-1155G7 Processor/16GB RAM/1TB SSD/Intel Iris Xe Graphics/Windows 11 With Bag English/Arabic Silver",1898.0,Windows 11,3,,16 GB,4498.0,1 TB,https://www.noon.com/uae-en/pavilion-15-eg1053-laptop-with-15-6-inch-touchscreen-display-core-i5-1155g7-processor-16gb-ram-1tb-ssd-intel-iris-xe-graphics-windows-11-with-bag-english-arabic-silver/N53336221A/p/?o=e136c53410ae7b8f
Laptop,Silver,AED,,"Newest Elitebook 830 Laptop With 13.3-Inch WUXGA Display, Core i7 Processor/16GB RAM/2TB SSD/Intel Iris XE Graphics/Windows 11 + Free Mouse English Silver",,Windows 11,3,,16 GB,1955.0,2 TB,https://www.noon.com/uae-en/newest-elitebook-830-laptop-with-13-3-inch-wuxga-display-core-i7-processor-16gb-ram-2tb-ssd-intel-iris-xe-graphics-windows-11-free-mouse-english-silver/N70087735V/p/?o=a71b1fe11567d84d
Laptop,Gray,AED,,"Thin 15 Gaming Laptop With 15.6-Inch FHD IPS 144Hz Display, Core i5-12450H Processor/16GB RAM/512GB SSD/4GB NVidia GeForce RTX 3050 Graphics/Windows 11 Home English Gray",,Windows 11 Home,3,,16 GB,2558.0,512 GB,https://www.noon.com/uae-en/thin-15-gaming-laptop-with-15-6-inch-fhd-ips-144hz-display-core-i5-12450h-processor-16gb-ram-512gb-ssd-4gb-nvidia-geforce-rtx-3050-graphics-windows-11-home-english-gray/N70090306V/p/?o=e95a2f69f1035dac
Laptop,Dark Ash Silver,AED,,"250 G9 Business And Personnel Laptop With 15.6-Inch Full HD Display, Core i7-1255U Processor/32GB RAM/1TB SSD/Intel Iris Xe Graphics/Windows 11 English/Arabic Dark Ash Silver",2200.0,Windows 11 Pro,5,,32 GB,3479.0,1 TB,https://www.noon.com/uae-en/250-g9-business-and-personnel-laptop-with-15-6-inch-full-hd-display-core-i7-1255u-processor-32gb-ram-1tb-ssd-intel-iris-xe-graphics-windows-11-english-arabic-dark-ash-silver/N53383313A/p/?o=a4aed649685c7a7f
Laptop,Space Grey,AED,,"Renewed - Macbook Pro A1990 (2018) Laptop With 15.4-Inch Display,Intel Core i7 Processor/8th Gen/16GB RAM/512GB SSD/4GB AMD Radeon Pro Graphics Space Grey",1998.0,macOS Mojave,5,,16 GB,2589.0,512 GB,https://www.noon.com/uae-en/renewed-macbook-pro-a1990-2018-laptop-with-15-4-inch-display-intel-core-i7-processor-8th-gen-16gb-ram-512gb-ssd-4gb-amd-radeon-pro-graphics-space-grey/N50479498A/p/?o=e01cc417eac977ac
Laptop,Gray,AED,,"ROG Strix G17 Laptop With 17.3-Inch Display, AMD Ryzen R9 7845HX Processor/16GB RAM/1TB SSD/8GB GeForce RTX 4060 Graphics/Windows 11 Home English/Arabic Gray",5890.0,Windows 11 Home,5,,16 GB,8498.75,1 TB,https://www.noon.com/uae-en/rog-strix-g17-laptop-with-17-3-inch-display-amd-ryzen-r9-7845hx-processor-16gb-ram-1tb-ssd-8gb-geforce-rtx-4060-graphics-windows-11-home-english-arabic-gray/N70059932V/p/?o=bf7fa747712204cd
Laptop,Space Grey,AED,https://f.nooncdn.com/p/pnsku/N70051920V/45/_/1710144336/e5620327-cd0e-4380-b128-8324917f3520.jpg?format=jpg&width=240,"New 2024 MacBook Air MRXP3 13-inch Display, Apple M3 Chip 8-Core CPU 10-Core GPU Processor/8GB RAM/512GB SSD/Intel UHD Graphics(International version) English Space Grey",4599.0,macOS Monterey,5,,8 GB,6239.0,512 GB,https://www.noon.com/uae-en/new-2024-macbook-air-mrxp3-13-inch-display-apple-m3-chip-8-core-cpu-10-core-gpu-processor-8gb-ram-512gb-ssd-intel-uhd-graphics-international-version-english-space-grey/N70051931V/p/?o=bfed11d3ec6e7ded
Laptop,Space Grey,AED,https://f.nooncdn.com/p/pnsku/N70051920V/45/_/1710144336/e5620327-cd0e-4380-b128-8324917f3520.jpg?format=jpg&width=240,"New 2024 MacBook Air MRXP3 13-inch Display, Apple M3 Chip 8-Core CPU 10-Core GPU Processor/8GB RAM/512GB SSD/Intel UHD Graphics(International version) English Space Grey",4499.8,macOS Monterey,5,,8 GB,6239.0,512 GB,https://www.noon.com/uae-en/new-2024-macbook-air-mrxp3-13-inch-display-apple-m3-chip-8-core-cpu-10-core-gpu-processor-8gb-ram-512gb-ssd-intel-uhd-graphics-international-version-english-space-grey/N70051931V/p/?o=f8f3d0786feb712b
Laptop,Black,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,"Vostro 3520 Laptop With 15.6 inch Full HD Display,  Intel Core i3-1215U Processor/8GB RAM/512GB SSD/Windows 11/Intel UHD Graphics/ English Black",1199.0,Windows 11,5,,8 GB,1449.0,512 GB,https://www.noon.com/uae-en/vostro-3520-laptop-with-15-6-inch-full-hd-display-intel-core-i3-1215u-processor-8gb-ram-512gb-ssd-windows-11-intel-uhd-graphics-english-black/N70101196V/p/?o=fff946f44e354c6c
Laptop,Silver,AED,https://f.nooncdn.com/p/pnsku/N70051928V/45/_/1710144316/14c8274f-5d85-4041-84ea-ee471e0ca1a4.jpg?format=jpg&width=240,"New 2024 MacBook Air MRYP3 15-inch Display, Apple M3 Chip 8-Core CPU 10-Core GPU Processor/8GB RAM/256GB SSD/Intel UHD Graphics(International version) English Silver",4448.0,macOS Monterey,5,,8 GB,6539.0,256 GB,https://www.noon.com/uae-en/new-2024-macbook-air-mryp3-15-inch-display-apple-m3-chip-8-core-cpu-10-core-gpu-processor-8gb-ram-256gb-ssd-intel-uhd-graphics-international-version-english-silver/N70052025V/p/?o=f9ee6f29123633ae
Laptop,Graphite Black,AED,https://f.nooncdn.com/p/v1657610838/N53327886A_1.jpg?format=jpg&width=240,"TUF Gaming F15 Laptop With 15.6-Inch Display, Core i5-11260H Processor/8GB RAM/512GB SSD/4GB NVIDIA GeForce RTX 3050 Graphics Card/Windows 10 Home English Graphite Black",2999.0,Windows 10 Home,7,,8 GB,3199.0,512 GB,https://www.noon.com/uae-en/tuf-gaming-f15-laptop-with-15-6-inch-display-core-i5-11260h-processor-8gb-ram-512gb-ssd-4gb-nvidia-geforce-rtx-3050-graphics-card-windows-10-home-english-graphite-black/N53361323A/p/?o=e2e07be08a36296a
Laptop,black,AED,,"2022 Newest Dell Inspiron 15 3000 Series 3511 Laptop 15.6-Inch, 11th Gen Intel Core i7-1165G7/32GB RAM/1TB SSD +1TB HDD Hybrid/Intel UHD Graphics /International Version English/Arabic black",2599.0,Windows 11,7,,32 GB,4439.0,2048 GB,https://www.noon.com/uae-en/2022-newest-dell-inspiron-15-3000-series-3511-laptop-15-6-inch-11th-gen-intel-core-i7-1165g7-32gb-ram-1tb-ssd-1tb-hdd-hybrid-intel-uhd-graphics-international-version-english-arabic-black/N53331219A/p/?o=b2dbf048c248f34c
Laptop,Black,AED,,"Inspiron 15 3000 3520 Business Laptop 15.6"" FHD WVA Anti-Glare 120Hz Display 12th Generation Intel 10-Core i7-1255U Processor 16GB RAM 512GB SSD Intel Iris Xe Graphics/Win11 English/Arabic Black",2364.3,Windows 11,7,,16 GB,2599.0,512 GB,https://www.noon.com/uae-en/inspiron-15-3000-3520-business-laptop-15-6-fhd-wva-anti-glare-120hz-display-12th-generation-intel-10-core-i7-1255u-processor-16gb-ram-512gb-ssd-intel-iris-xe-graphics-win11-english-arabic-black/N70039497V/p/?o=da00934b5fe5bf3a
Laptop,Off Black,AED,https://f.nooncdn.com/p/v1649954402/N52787247A_1.jpg?format=jpg&width=240,"TUF DASH F15 Gaming FX517ZR-HN028W Laptop With 15.6-Inch Full HD Display, Core i7-12650H Processor/16GB RAM/1TB SSD/6GB Nvidia Geforce RTX 3070 Graphics Card/Winodws 11 Home English/Arabic Off Black",,Windows 11 Home,7,,16 GB,6000.0,1 TB,https://www.noon.com/uae-en/tuf-dash-f15-gaming-fx517zr-hn028w-laptop-with-15-6-inch-full-hd-display-core-i7-12650h-processor-16gb-ram-1tb-ssd-6gb-nvidia-geforce-rtx-3070-graphics-card-winodws-11-home-english-arabic-off-black/N53383420A/p/?o=f85e36c25c79fe6d
Laptop,Black,AED,,"Inspiron 15 3511 Laptop With 15.6-Inch Display, Core i7-1165G7 Processer/16GB RAM/1TB SSD/Intel UHD Graphics/Windows 11 Pro/International Version English Black",2599.0,Windows 11 Pro,7,,16 GB,4499.0,1 TB,https://www.noon.com/uae-en/inspiron-15-3511-laptop-with-15-6-inch-display-core-i7-1165g7-processer-16gb-ram-1tb-ssd-intel-uhd-graphics-windows-11-pro-international-version-english-black/N53336052A/p/?o=e42fefddbb5809fa
Laptop,Black,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,"TUF Dash F15 FX517ZC Gaming Laptop With 15.6-Inch FHD Display, Core i7-12650H Processor/32GB RAM/1TB SSD/4GB NVIDIA GeForce RTX3050 Graphics Card/Windows 11 Home English Black",,Windows 11,7,,32 GB,5650.0,1 TB,https://www.noon.com/uae-en/tuf-dash-f15-fx517zc-gaming-laptop-with-15-6-inch-fhd-display-core-i7-12650h-processor-32gb-ram-1tb-ssd-4gb-nvidia-geforce-rtx3050-graphics-card-windows-11-home-english-black/N53404064A/p/?o=eda7d7d047bfe7bd
Laptop,Sand,AED,https://f.nooncdn.com/p/pnsku/N53384759A/45/_/1701859160/7f745e0a-7e29-4ab7-9add-e56e6ba7cc8a.jpg?format=jpg&width=240,"IdeaPad 3 15ALC6 Laptop With 15.6-Inch Full HD Display, AMD Ryzen 7 5700U Processor / 8GB RAM / 512GB SSD/ DOS(Without Windows) / AMD Radeon Graphics / Arabic Sand",1699.0,Free DOS,7,,8 GB,2344.0,512 GB,https://www.noon.com/uae-en/ideapad-3-15alc6-laptop-with-15-6-inch-full-hd-display-amd-ryzen-7-5700u-processor-8gb-ram-512gb-ssd-dos-without-windows-amd-radeon-graphics-arabic-sand/N53373252A/p/?o=ba51dc6e1c358f4a
Laptop,Silver,AED,,"Envy x360 Convertible 2-In-1 Laptop With 15.6-Inch Display, Core i5-1135G7 Processor/16GB RAM/512GB SSD/Intel's Iris Xe Graphics English/Arabic Silver",2299.0,Windows 11,9,,16 GB,5218.0,512 GB,https://www.noon.com/uae-en/envy-x360-convertible-2-in-1-laptop-with-15-6-inch-display-core-i5-1135g7-processor-16gb-ram-512gb-ssd-intel-s-iris-xe-graphics-english-arabic-silver/N53336231A/p/?o=e66fd58d733bca5d
Laptop,silver,AED,,"Newest EliteBook 650 G9 15.6"" Notebook Series, FHD (1920 x 1080), Intel Core -1235U Deca-core, 16 GB DDR4 RAM, 1 TB NVME SSD, Thin & Light, Windows 11 English/Arabic silver",2199.0,Windows 11,9,,16 GB,2929.0,1 TB,https://www.noon.com/uae-en/newest-elitebook-650-g9-15-6-notebook-series-fhd-1920-x-1080-intel-core-1235u-deca-core-16-gb-ddr4-ram-1-tb-nvme-ssd-thin-light-windows-11-english-arabic-silver/N70034389V/p/?o=cb6b4fde32213e8a
Laptop,Platinum,AED,,"Surface Pro 8 Laptop With 13-Inch Display, Core i7-1185G7 Processor/16GB RAM/256GB SSD/Intel Iris XE Graphics/Windows 11 Pro English Platinum",,Windows 11 Pro,9,,16 GB,3999.0,256 GB,https://www.noon.com/uae-en/surface-pro-8-laptop-with-13-inch-display-core-i7-1185g7-processor-16gb-ram-256gb-ssd-intel-iris-xe-graphics-windows-11-pro-english-platinum/N70101595V/p/?o=f3f7769700e77aed
Laptop,Black,AED,,"G15 5520 Gaming Laptop With 15.6-Inch Display, Core i7 12700H Processor/16GB RAM/512GB SSD/6GB Nvidia Geforce RTX 3060 Graphics Card/Windows 11 Home English/Arabic Black",4199.0,Windows 11 Home,9,,16 GB,6999.0,512 GB,https://www.noon.com/uae-en/g15-5520-gaming-laptop-with-15-6-inch-display-core-i7-12700h-processor-16gb-ram-512gb-ssd-6gb-nvidia-geforce-rtx-3060-graphics-card-windows-11-home-english-arabic-black/N53382965A/p/?o=d04cd607193e642d
Laptop,Arctic Grey,AED,,"IdeaPad Slim 3 15IRH8 With 15.6 Full HD Display, Intel Core i7-13620H Processor/16GB DDR5-4800 RAM/512GB SSD/Intel UHD Graphics/Windows 11 Home Lenovo Bag+ Mouse English/Arabic Arctic Grey",,Windows 11 Home,9,,16 GB,2246.6,512 GB,https://www.noon.com/uae-en/ideapad-slim-3-15irh8-with-15-6-full-hd-display-intel-core-i7-13620h-processor-16gb-ddr5-4800-ram-512gb-ssd-intel-uhd-graphics-windows-11-home-lenovo-bag-mouse-english-arabic-arctic-grey/N70100936V/p/?o=e3882d8e8bc6914a
Laptop,Grey,AED,,"G15 5530 15.6-Inch Display, Core i7-13650HX Processor/16GB RAM/512GB SSD/8GB GeForce RTX 4060 Graphic Card/Windows 11 English/Arabic Grey",4159.0,Windows 11,9,,16 GB,7079.0,512 GB,https://www.noon.com/uae-en/g15-5530-15-6-inch-display-core-i7-13650hx-processor-16gb-ram-512gb-ssd-8gb-geforce-rtx-4060-graphic-card-windows-11-english-arabic-grey/N50249692A/p/?o=de6d48f71f60580c
Laptop,SAPPHIRE,AED,,"Surface Pro Edition Copilot+ PC 13 Inch OLED Display, Snapdragon X Elite Processor/16GB RAM/1TB SSD/Qualcomm Adreno GPU/Windows 11 Home English SAPPHIRE",7275.0,Windows 11 Home,9,,16 GB,9500.0,1 TB,https://www.noon.com/uae-en/surface-pro-edition-copilot-pc-13-inch-oled-display-snapdragon-x-elite-processor-16gb-ram-1tb-ssd-qualcomm-adreno-gpu-windows-11-home-english-sapphire/N70104787V/p/?o=b18cd22ff8cf4e9c
Laptop,Silver,AED,,"Renewed - 830 G6 Business Laptop With 12.5-Inch Display,Intel Core i5 Processor/8th Generation/16GB RAM/512 GB SSD/Windows 10 Pro English Silver",839.85,Windows 10 Pro,11,,16 GB,1199.0,512 GB,https://www.noon.com/uae-en/renewed-830-g6-business-laptop-with-12-5-inch-display-intel-core-i5-processor-8th-generation-16gb-ram-512-gb-ssd-windows-10-pro-english-silver/N53419454A/p/?o=e2422c5e8b748aee
Laptop,Black,AED,,Pavilion Gaming Laptop 15-ec2008ca 15.6 Inch FHD AMD Ryzen 5 5600H 8GB Ram 512GB SSD 4GB Nivida Geforce GTX 1650 WIN 10 English/Arabic Black,2099.0,Windows 10,11,,8 GB,2879.0,512 GB,https://www.noon.com/uae-en/pavilion-gaming-laptop-15-ec2008ca-15-6-inch-fhd-amd-ryzen-5-5600h-8gb-ram-512gb-ssd-4gb-nivida-geforce-gtx-1650-win-10-english-arabic-black/N52779299A/p/?o=f894a0ddff9b684f
Laptop,Silver,AED,https://f.nooncdn.com/p/pnsku/N70020109V/45/_/1710144275/48b55f36-ce37-4ff6-a83b-2b87216a5015.jpg?format=jpg&width=240,"2023 Newest MacBook Pro MRX73 Laptop M3 Pro chip with 12‑core CPU, 18‑core GPU: 14.2-inch Liquid Retina XDR Display, 18GB Unified Memory, 1TB SSD Storage And Works with iPhone/iPad(International version) English Silver",7809.0,macOS Monterey,11,,18 GB,12989.0,1 TB,https://www.noon.com/uae-en/2023-newest-macbook-pro-mrx73-laptop-m3-pro-chip-with-12-core-cpu-18-core-gpu-14-2-inch-liquid-retina-xdr-display-18gb-unified-memory-1tb-ssd-storage-and-works-with-iphone-ipad-international-version-english-silver/N70020109V/p/?o=bdc639acda3d7f9a
Laptop,Starlight,AED,https://f.nooncdn.com/s/app/com/noon/icons/notify-gray.svg,"New 2024 MacBook Air MRXU3 13-inch Display, Apple M3 Chip 8-Core CPU 10-Core GPU Processor/8GB RAM/512GB SSD/Intel UHD Graphics(International version) English Starlight",4756.8,macOS Monterey,11,,8 GB,5939.0,512 GB,https://www.noon.com/uae-en/new-2024-macbook-air-mrxu3-13-inch-display-apple-m3-chip-8-core-cpu-10-core-gpu-processor-8gb-ram-512gb-ssd-intel-uhd-graphics-international-version-english-starlight/N70051940V/p/?o=c2bb7b1c88eb788e
Laptop,Space Grey,AED,,"Renewed - MacBook Pro MK183 16-Inch Liquid Retina XDR Display,M1 Pro Chip/10-Core CPU/16-Core GPU/16GB RAM/512GB SSD English Space Grey",5350.0,OS X,11,,16 GB,6599.0,512 GB,https://www.noon.com/uae-en/renewed-macbook-pro-mk183-16-inch-liquid-retina-xdr-display-m1-pro-chip-10-core-cpu-16-core-gpu-16gb-ram-512gb-ssd-english-space-grey/N70062735V/p/?o=e2daae62ff8e310c
Laptop,Black,AED,,"Refurbished - Probook 640 G1 (2015) Laptop With 14-Inch Display,Intel Core i5 Processor/4th Gen/8GB RAM/256GB SSD/1GB Intel HD Graphics 520 English Black",383.0,Windows 10,11,,8 GB,1035.0,256 GB,https://www.noon.com/uae-en/refurbished-probook-640-g1-2015-laptop-with-14-inch-display-intel-core-i5-processor-4th-gen-8gb-ram-256gb-ssd-1gb-intel-hd-graphics-520-english-black/N51438092A/p/?o=a362ea381cdec50a
Laptop,Black,AED,,"Renewed - Latitude 7250 Laptop With 12.5-Inch Screen,Intel Core i7/Quad Core/5th Gen/ 8GB RAM/256GB SSD/Windows 10 pro English Black",449.0,Windows 10,11,,8 GB,499.0,256 GB,https://www.noon.com/uae-en/renewed-latitude-7250-laptop-with-12-5-inch-screen-intel-core-i7-quad-core-5th-gen-8gb-ram-256gb-ssd-windows-10-pro-english-black/N70095356V/p/?o=a52fe0742bb60b3d
Laptop,Peacock Blue,AED,,"Vivobook Go 14 E410MA-BV2205WS Laptop With 14-Inch Display, Celeron N4020 Processor/4GB RAM/128GB SSD/Intel Iris XE Graphics/Windows 11 Home English/Arabic Peacock Blue",909.0,Windows 11 Home,13,,4 GB,1279.0,128 GB,https://www.noon.com/uae-en/vivobook-go-14-e410ma-bv2205ws-laptop-with-14-inch-display-celeron-n4020-processor-4gb-ram-128gb-ssd-intel-iris-xe-graphics-windows-11-home-english-arabic-peacock-blue/N53421596A/p/?o=f8536f947356081a
Laptop,Storm Grey,AED,,"Legion 5 15IAH7H Gaming Laptop With 15.6-Inch Display, Core i7-12700H Processor/32GB RAM/2TB SSD/8GB NVIDIA GeForce RTX 3070 Graphics Card/Windows 11 Home English Storm Grey",5789.95,Windows 11,13,,32 GB,7379.0,2 TB,https://www.noon.com/uae-en/legion-5-15iah7h-gaming-laptop-with-15-6-inch-display-core-i7-12700h-processor-32gb-ram-2tb-ssd-8gb-nvidia-geforce-rtx-3070-graphics-card-windows-11-home-english-storm-grey/N53404131A/p/?o=a7618dcab1353bdf
Laptop,Silver,AED,,"Thin Laptop 15-Dy With 15.6-Inch Display, Core i5-1135G7 Processor/16GB RAM/1TB SSD/Intel Iris XE Graphics/Windows 10 English Silver",1527.1,Windows 10,13,,16 GB,2069.0,1 TB,https://www.noon.com/uae-en/thin-laptop-15-dy-with-15-6-inch-display-core-i5-1135g7-processor-16gb-ram-1tb-ssd-intel-iris-xe-graphics-windows-10-english-silver/N53418502A/p/?o=d1651fbb7654f1bf
